vector,batch,iteration,discovered_cumulative,discovered_iteration,finished_iteration,finished_total,time_taken
13,0,8,82.6836,1.32768,0,196,4
13,0,9,82.6836,0.291902,0,196,3
13,0,10,82.6836,0.0564972,0,196,3
13,0,11,82.6836,0.0188324,0,196,3
13,0,12,82.6836,0.0,0,0,3
14,0,0,37.8814,37.8814,1,1,4
14,0,1,81.7514,81.1299,32,33,17
14,0,2,84.6422,83.9266,88,121,23
14,0,3,85.7062,84.3032,37,158,24
14,0,4,85.7439,76.8079,4,162,23
14,0,5,85.7627,47.081,3,165,20
14,0,6,85.7627,17.5141,0,165,12
14,0,7,85.7627,6.40301,0,165,6
14,0,8,85.7627,1.30885,0,165,4
14,0,9,85.7627,0.207156,0,165,3
14,0,10,85.7627,0.112994,0,165,3
14,0,11,85.7627,0.0188324,0,165,3
14,0,12,85.7627,0.0,0,0,3
15,0,0,32.081,32.081,0,0,4
15,0,1,78.0603,77.5141,32,32,13
15,0,2,84.2844,81.9586,95,127,22
15,0,3,84.8399,77.6836,41,168,22
15,0,4,84.887,69.1149,8,176,20
15,0,5,84.887,42.307,1,177,17
15,0,6,84.887,17.8719,0,177,10
15,0,7,84.887,5.6968,0,177,6
15,0,8,84.887,1.06403,0,177,4
15,0,9,84.887,0.235405,0,177,3
15,0,10,84.887,0.216572,0,177,3
15,0,11,84.887,0.0282486,0,177,3
15,0,12,84.887,0.0,0,0,3
16,0,0,45.1789,45.1789,1,1,5
16,0,1,83.8983,83.4652,41,42,19
16,0,2,85.0659,82.5235,90,132,24
16,0,3,85.4049,81.5819,39,171,24
16,0,4,85.4049,75.565,5,176,23
16,0,5,85.4049,44.2938,4,180,19
16,0,6,85.4049,18.0697,0,180,12
16,0,7,85.4049,6.21469,0,180,6
16,0,8,85.4049,1.22411,0,180,4
16,0,9,85.4049,0.583804,0,180,3
16,0,10,85.4049,0.169492,0,180,3
16,0,11,85.4049,0.0376648,0,180,3
16,0,12,85.4049,0.0,0,0,3
17,0,0,40.5273,40.5273,0,0,4
17,0,1,82.6177,82.1092,45,45,17
17,0,2,85.0565,83.5687,106,151,25
17,0,3,85.2354,80.7439,37,188,26
17,0,4,85.2354,74.0113,10,198,24
17,0,5,85.2354,48.5405,1,199,21
17,0,6,85.2354,19.8682,0,199,13
17,0,7,85.2354,6.56309,0,199,7
17,0,8,85.2354,1.63842,0,199,5
17,0,9,85.2354,0.39548,0,199,4
17,0,10,85.2354,0.169492,0,199,3
17,0,11,85.2354,0.0282486,0,199,3
17,0,12,85.2354,0.0,0,0,3
18,0,0,35.6026,35.6026,2,2,4
18,0,1,82.6177,82.0998,52,54,19
18,0,2,84.6987,82.9284,88,142,25
18,0,3,84.9623,82.0621,28,170,25
18,0,4,84.9623,74.9718,6,176,51
18,0,5,84.9623,45.2072,0,176,64
18,0,6,84.9623,15.9981,1,177,14
18,0,7,84.9623,5.14124,0,177,6
18,0,8,84.9623,1.37476,0,177,6
18,0,9,84.9623,0.282486,0,177,4
18,0,10,84.9623,0.0659134,0,177,3
18,0,11,84.9623,0.0188324,0,177,5
18,0,12,84.9623,0.0,0,0,7
19,0,0,34.2561,34.2561,1,1,16
19,0,1,82.0998,81.5443,38,39,19
19,0,2,84.6516,83.4934,91,130,32
19,0,3,85.4896,83.7665,35,165,26
19,0,4,85.5273,78.3145,9,174,25
19,0,5,85.5273,48.9736,0,174,23
19,0,6,85.5273,19.9435,2,176,14
19,0,7,85.5273,5.89454,0,176,7
19,0,8,85.5273,1.44068,0,176,4
19,0,9,85.5273,0.225989,0,176,3
19,0,10,85.5273,0.0188324,0,176,3
19,0,11,85.5273,0.0,0,0,3
20,0,0,35.6215,35.6215,1,1,4
20,0,1,78.7571,78.2298,41,42,15
20,0,2,83.1544,80.7062,88,130,23
20,0,3,84.4162,78.8606,40,170,23
20,0,4,84.5292,70.8945,4,174,22
20,0,5,84.5292,43.5782,1,175,19
20,0,6,84.5292,15.4237,0,175,11
20,0,7,84.5292,4.77401,0,175,5
20,0,8,84.5292,1.47834,0,175,4
20,0,9,84.5292,0.235405,0,175,3
20,0,10,84.5292,0.150659,0,175,3
20,0,11,84.5292,0.0188324,0,175,3
20,0,12,84.5292,0.0,0,0,3
